game_id,iter_idx,converged,rounds,duration_sec,player_count,quality_scores_json,final_datasizes_json,final_payoffs_json
1,1,1,125,0.754664,15,"{""C01"": 1.012744, ""C02"": 1.03733, ""C03"": 1.050196, ""C04"": 1.054695, ""C05"": 1.05812, ""C06"": 1.356879, ""C07"": 1.258979, ""C08"": 1.295989, ""C09"": 1.339909, ""C10"": 1.379489, ""C11"": 1.40552, ""C12"": 1.977327, ""C13"": 1.889209, ""C14"": 1.87951, ""C15"": 1.882197}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1664, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.025256450229993885, ""C02"": 0.025256450229993885, ""C03"": 0.025256450229993885, ""C04"": 0.025256450229993885, ""C05"": 0.025256450229993885, ""C06"": 0.025256450229993885, ""C07"": 0.025256450229993885, ""C08"": 0.025256450229993885, ""C09"": 0.025256450229993885, ""C10"": 0.025256450229993885, ""C11"": 0.025256450229993885, ""C12"": 0.024292800792684973, ""C13"": 0.025256450229993885, ""C14"": 0.025256450229993885, ""C15"": 0.025256450229993885}"
2,2,1,124,0.745543,15,"{""C01"": 1.027263, ""C02"": 1.047619, ""C03"": 1.05685, ""C04"": 1.060018, ""C05"": 1.065042, ""C06"": 1.374939, ""C07"": 1.28289, ""C08"": 1.323561, ""C09"": 1.367231, ""C10"": 1.402767, ""C11"": 1.422862, ""C12"": 2.001769, ""C13"": 1.911379, ""C14"": 1.904678, ""C15"": 1.914224}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1658, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.025264817865649464, ""C02"": 0.025264817865649464, ""C03"": 0.025264817865649464, ""C04"": 0.025264817865649464, ""C05"": 0.025264817865649464, ""C06"": 0.025264817865649464, ""C07"": 0.025264817865649464, ""C08"": 0.025264817865649464, ""C09"": 0.025264817865649464, ""C10"": 0.025264817865649464, ""C11"": 0.025264817865649464, ""C12"": 0.024304642495266378, ""C13"": 0.025264817865649464, ""C14"": 0.025264817865649464, ""C15"": 0.025264817865649464}"
3,3,1,143,0.885487,15,"{""C01"": 1.039537, ""C02"": 1.055641, ""C03"": 1.061906, ""C04"": 1.06479, ""C05"": 1.072344, ""C06"": 1.393848, ""C07"": 1.307155, ""C08"": 1.350201, ""C09"": 1.392149, ""C10"": 1.422676, ""C11"": 1.43683, ""C12"": 2.022509, ""C13"": 1.931735, ""C14"": 1.929692, ""C15"": 1.946747}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1652, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.025271242033797076, ""C02"": 0.025271242033797076, ""C03"": 0.025271242033797076, ""C04"": 0.025271242033797076, ""C05"": 0.025271242033797076, ""C06"": 0.025271242033797076, ""C07"": 0.025271242033797076, ""C08"": 0.025271242033797076, ""C09"": 0.025271242033797076, ""C10"": 0.025271242033797076, ""C11"": 0.025271242033797076, ""C12"": 0.02431454233983186, ""C13"": 0.025271242033797076, ""C14"": 0.025271242033797076, ""C15"": 0.025271242033797076}"
4,4,1,178,1.180429,15,"{""C01"": 1.049526, ""C02"": 1.061621, ""C03"": 1.065774, ""C04"": 1.069438, ""C05"": 1.080296, ""C06"": 1.413636, ""C07"": 1.331471, ""C08"": 1.375461, ""C09"": 1.414322, ""C10"": 1.439184, ""C11"": 1.447761, ""C12"": 2.040347, ""C13"": 1.951104, ""C14"": 1.95509, ""C15"": 1.979836}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1648, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.02527733519200727, ""C02"": 0.02527733519200727, ""C03"": 0.02527733519200727, ""C04"": 0.02527733519200727, ""C05"": 0.02527733519200727, ""C06"": 0.02527733519200727, ""C07"": 0.02527733519200727, ""C08"": 0.02527733519200727, ""C09"": 0.02527733519200727, ""C10"": 0.02527733519200727, ""C11"": 0.02527733519200727, ""C12"": 0.02432295110853663, ""C13"": 0.02527733519200727, ""C14"": 0.02527733519200727, ""C15"": 0.02527733519200727}"
5,5,1,252,1.612599,15,"{""C01"": 1.057283, ""C02"": 1.06586, ""C03"": 1.068886, ""C04"": 1.074346, ""C05"": 1.089077, ""C06"": 1.434196, ""C07"": 1.355451, ""C08"": 1.398891, ""C09"": 1.433494, ""C10"": 1.452389, ""C11"": 1.456098, ""C12"": 2.056121, ""C13"": 1.970226, ""C14"": 1.981237, ""C15"": 2.01338}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1644, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.0252823742642298, ""C02"": 0.0252823742642298, ""C03"": 0.0252823742642298, ""C04"": 0.0252823742642298, ""C05"": 0.0252823742642298, ""C06"": 0.0252823742642298, ""C07"": 0.0252823742642298, ""C08"": 0.0252823742642298, ""C09"": 0.0252823742642298, ""C10"": 0.0252823742642298, ""C11"": 0.0252823742642298, ""C12"": 0.024330306667269458, ""C13"": 0.0252823742642298, ""C14"": 0.0252823742642298, ""C15"": 0.0252823742642298}"
6,6,1,425,2.659020,15,"{""C01"": 1.062953, ""C02"": 1.068722, ""C03"": 1.071678, ""C04"": 1.079837, ""C05"": 1.098768, ""C06"": 1.455294, ""C07"": 1.378648, ""C08"": 1.420082, ""C09"": 1.449517, ""C10"": 1.462515, ""C11"": 1.462369, ""C12"": 2.070663, ""C13"": 1.989727, ""C14"": 2.008321, ""C15"": 2.047106}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1640, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.02528677281370141, ""C02"": 0.02528677281370141, ""C03"": 0.02528677281370141, ""C04"": 0.02528677281370141, ""C05"": 0.02528677281370141, ""C06"": 0.02528677281370141, ""C07"": 0.02528677281370141, ""C08"": 0.02528677281370141, ""C09"": 0.02528677281370141, ""C10"": 0.02528677281370141, ""C11"": 0.02528677281370141, ""C12"": 0.024337022239478468, ""C13"": 0.02528677281370141, ""C14"": 0.02528677281370141, ""C15"": 0.02528677281370141}"
7,7,1,120,0.745286,15,"{""C01"": 1.066769, ""C02"": 1.070614, ""C03"": 1.074559, ""C04"": 1.086153, ""C05"": 1.109351, ""C06"": 1.476594, ""C07"": 1.400593, ""C08"": 1.438689, ""C09"": 1.462371, ""C10"": 1.469906, ""C11"": 1.467158, ""C12"": 2.084755, ""C13"": 2.01008, ""C14"": 2.036345, ""C15"": 2.080604}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 855, ""C13"": 0, ""C14"": 0, ""C15"": 783}","{""C01"": 0.025291160534863938, ""C02"": 0.025291160534863938, ""C03"": 0.025291160534863938, ""C04"": 0.025291160534863938, ""C05"": 0.025291160534863938, ""C06"": 0.025291160534863938, ""C07"": 0.025291160534863938, ""C08"": 0.025291160534863938, ""C09"": 0.025291160534863938, ""C10"": 0.025291160534863938, ""C11"": 0.025291160534863938, ""C12"": 0.02479601782299441, ""C13"": 0.025291160534863938, ""C14"": 0.025291160534863938, ""C15"": 0.02483771147272617}"
8,8,1,807,3.661424,15,"{""C01"": 1.069035, ""C02"": 1.071962, ""C03"": 1.077894, ""C04"": 1.093447, ""C05"": 1.120712, ""C06"": 1.497676, ""C07"": 1.42083, ""C08"": 1.454462, ""C09"": 1.472161, ""C10"": 1.475009, ""C11"": 1.471073, ""C12"": 2.099094, ""C13"": 2.031592, ""C14"": 2.065138, ""C15"": 2.113362}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1630}","{""C01"": 0.025300348370144693, ""C02"": 0.025300348370144693, ""C03"": 0.025300348370144693, ""C04"": 0.025300348370144693, ""C05"": 0.025300348370144693, ""C06"": 0.025300348370144693, ""C07"": 0.025300348370144693, ""C08"": 0.025300348370144693, ""C09"": 0.025300348370144693, ""C10"": 0.025300348370144693, ""C11"": 0.025300348370144693, ""C12"": 0.025300348370144693, ""C13"": 0.025300348370144693, ""C14"": 0.025300348370144693, ""C15"": 0.024356388183735568}"
9,9,1,353,1.221751,15,"{""C01"": 1.070119, ""C02"": 1.073188, ""C03"": 1.081982, ""C04"": 1.101769, ""C05"": 1.132651, ""C06"": 1.518075, ""C07"": 1.438943, ""C08"": 1.467263, ""C09"": 1.479123, ""C10"": 1.47835, ""C11"": 1.474714, ""C12"": 2.114251, ""C13"": 2.054387, ""C14"": 2.094373, ""C15"": 2.144807}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1622}","{""C01"": 0.02530965041970548, ""C02"": 0.02530965041970548, ""C03"": 0.02530965041970548, ""C04"": 0.02530965041970548, ""C05"": 0.02530965041970548, ""C06"": 0.02530965041970548, ""C07"": 0.02530965041970548, ""C08"": 0.02530965041970548, ""C09"": 0.02530965041970548, ""C10"": 0.02530965041970548, ""C11"": 0.02530965041970548, ""C12"": 0.02530965041970548, ""C13"": 0.02530965041970548, ""C14"": 0.02530965041970548, ""C15"": 0.02437032385406926}"
10,10,1,257,0.921396,15,"{""C01"": 1.070423, ""C02"": 1.074688, ""C03"": 1.08704, ""C04"": 1.111076, ""C05"": 1.144897, ""C06"": 1.537307, ""C07"": 1.454592, ""C08"": 1.477084, ""C09"": 1.48361, ""C10"": 1.480507, ""C11"": 1.478642, ""C12"": 2.130644, ""C13"": 2.078411, ""C14"": 2.123593, ""C15"": 2.174346}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1615}","{""C01"": 0.025318445043657864, ""C02"": 0.025318445043657864, ""C03"": 0.025318445043657864, ""C04"": 0.025318445043657864, ""C05"": 0.025318445043657864, ""C06"": 0.025318445043657864, ""C07"": 0.025318445043657864, ""C08"": 0.025318445043657864, ""C09"": 0.025318445043657864, ""C10"": 0.025318445043657864, ""C11"": 0.025318445043657864, ""C12"": 0.025318445043657864, ""C13"": 0.025318445043657864, ""C14"": 0.025318445043657864, ""C15"": 0.024383172339944883}"
11,11,1,233,0.815448,15,"{""C01"": 1.070369, ""C02"": 1.076807, ""C03"": 1.093193, ""C04"": 1.121226, ""C05"": 1.157128, ""C06"": 1.554909, ""C07"": 1.467536, ""C08"": 1.484044, ""C09"": 1.486074, ""C10"": 1.482079, ""C11"": 1.483343, ""C12"": 2.148523, ""C13"": 2.103438, ""C14"": 2.15225, ""C15"": 2.20141}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1609}","{""C01"": 0.025326542909727398, ""C02"": 0.025326542909727398, ""C03"": 0.025326542909727398, ""C04"": 0.025326542909727398, ""C05"": 0.025326542909727398, ""C06"": 0.025326542909727398, ""C07"": 0.025326542909727398, ""C08"": 0.025326542909727398, ""C09"": 0.025326542909727398, ""C10"": 0.025326542909727398, ""C11"": 0.025326542909727398, ""C12"": 0.025326542909727398, ""C13"": 0.025326542909727398, ""C14"": 0.025326542909727398, ""C15"": 0.024394744463348602}"
12,12,1,253,1.011482,15,"{""C01"": 1.070367, ""C02"": 1.079823, ""C03"": 1.100468, ""C04"": 1.131998, ""C05"": 1.168991, ""C06"": 1.570467, ""C07"": 1.477651, ""C08"": 1.488392, ""C09"": 1.487044, ""C10"": 1.483647, ""C11"": 1.489206, ""C12"": 2.167956, ""C13"": 2.129092, ""C14"": 2.179744, ""C15"": 2.225496}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1603}","{""C01"": 0.025333209800409914, ""C02"": 0.025333209800409914, ""C03"": 0.025333209800409914, ""C04"": 0.025333209800409914, ""C05"": 0.025333209800409914, ""C06"": 0.025333209800409914, ""C07"": 0.025333209800409914, ""C08"": 0.025333209800409914, ""C09"": 0.025333209800409914, ""C10"": 0.025333209800409914, ""C11"": 0.025333209800409914, ""C12"": 0.025333209800409914, ""C13"": 0.025333209800409914, ""C14"": 0.025333209800409914, ""C15"": 0.024404886835771043}"
13,13,1,279,1.055353,15,"{""C01"": 1.070799, ""C02"": 1.083927, ""C03"": 1.108791, ""C04"": 1.143102, ""C05"": 1.18013, ""C06"": 1.583647, ""C07"": 1.484942, ""C08"": 1.490492, ""C09"": 1.487093, ""C10"": 1.48575, ""C11"": 1.496501, ""C12"": 2.188836, ""C13"": 2.154878, ""C14"": 2.205464, ""C15"": 2.246208}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1599}","{""C01"": 0.02533950148380694, ""C02"": 0.02533950148380694, ""C03"": 0.02533950148380694, ""C04"": 0.02533950148380694, ""C05"": 0.02533950148380694, ""C06"": 0.02533950148380694, ""C07"": 0.02533950148380694, ""C08"": 0.02533950148380694, ""C09"": 0.02533950148380694, ""C10"": 0.02533950148380694, ""C11"": 0.02533950148380694, ""C12"": 0.02533950148380694, ""C13"": 0.02533950148380694, ""C14"": 0.02533950148380694, ""C15"": 0.02441349391667681}"
14,14,1,312,1.175648,15,"{""C01"": 1.071992, ""C02"": 1.08922, ""C03"": 1.118, ""C04"": 1.154202, ""C05"": 1.190206, ""C06"": 1.594222, ""C07"": 1.489547, ""C08"": 1.490805, ""C09"": 1.486809, ""C10"": 1.488847, ""C11"": 1.505365, ""C12"": 2.210887, ""C13"": 2.180216, ""C14"": 2.228833, ""C15"": 2.26328}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1595}","{""C01"": 0.02534420094570594, ""C02"": 0.02534420094570594, ""C03"": 0.02534420094570594, ""C04"": 0.02534420094570594, ""C05"": 0.02534420094570594, ""C06"": 0.02534420094570594, ""C07"": 0.02534420094570594, ""C08"": 0.02534420094570594, ""C09"": 0.02534420094570594, ""C10"": 0.02534420094570594, ""C11"": 0.02534420094570594, ""C12"": 0.02534420094570594, ""C13"": 0.02534420094570594, ""C14"": 0.02534420094570594, ""C15"": 0.02442051014574115}"
15,15,1,432,1.649245,15,"{""C01"": 1.074202, ""C02"": 1.095702, ""C03"": 1.127853, ""C04"": 1.164938, ""C05"": 1.198924, ""C06"": 1.602083, ""C07"": 1.491729, ""C08"": 1.489859, ""C09"": 1.48676, ""C10"": 1.493294, ""C11"": 1.515796, ""C12"": 2.23369, ""C13"": 2.204483, ""C14"": 2.249353, ""C15"": 2.276604}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1592}","{""C01"": 0.025347891212448417, ""C02"": 0.025347891212448417, ""C03"": 0.025347891212448417, ""C04"": 0.025347891212448417, ""C05"": 0.025347891212448417, ""C06"": 0.025347891212448417, ""C07"": 0.025347891212448417, ""C08"": 0.025347891212448417, ""C09"": 0.025347891212448417, ""C10"": 0.025347891212448417, ""C11"": 0.025347891212448417, ""C12"": 0.025347891212448417, ""C13"": 0.025347891212448417, ""C14"": 0.025347891212448417, ""C15"": 0.024425937844711372}"
16,16,1,672,2.537017,15,"{""C01"": 1.077599, ""C02"": 1.103278, ""C03"": 1.138043, ""C04"": 1.17495, ""C05"": 1.206047, ""C06"": 1.607254, ""C07"": 1.491864, ""C08"": 1.488227, ""C09"": 1.487459, ""C10"": 1.499328, ""C11"": 1.527659, ""C12"": 2.256716, ""C13"": 2.227058, ""C14"": 2.266635, ""C15"": 2.286239}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1590}","{""C01"": 0.025350632159017047, ""C02"": 0.025350632159017047, ""C03"": 0.025350632159017047, ""C04"": 0.025350632159017047, ""C05"": 0.025350632159017047, ""C06"": 0.025350632159017047, ""C07"": 0.025350632159017047, ""C08"": 0.025350632159017047, ""C09"": 0.025350632159017047, ""C10"": 0.025350632159017047, ""C11"": 0.025350632159017047, ""C12"": 0.025350632159017047, ""C13"": 0.025350632159017047, ""C14"": 0.025350632159017047, ""C15"": 0.02442983683570799}"
17,17,1,1037,3.963225,15,"{""C01"": 1.082256, ""C02"": 1.111761, ""C03"": 1.148223, ""C04"": 1.1839, ""C05"": 1.211419, ""C06"": 1.609889, ""C07"": 1.49042, ""C08"": 1.486485, ""C09"": 1.489341, ""C10"": 1.50705, ""C11"": 1.540691, ""C12"": 2.279359, ""C13"": 2.247364, ""C14"": 2.28043, ""C15"": 2.292412}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 0, ""C13"": 0, ""C14"": 0, ""C15"": 1588}","{""C01"": 0.025351959412826156, ""C02"": 0.025351959412826156, ""C03"": 0.025351959412826156, ""C04"": 0.025351959412826156, ""C05"": 0.025351959412826156, ""C06"": 0.025351959412826156, ""C07"": 0.025351959412826156, ""C08"": 0.025351959412826156, ""C09"": 0.025351959412826156, ""C10"": 0.025351959412826156, ""C11"": 0.025351959412826156, ""C12"": 0.025351959412826156, ""C13"": 0.025351959412826156, ""C14"": 0.025351959412826156, ""C15"": 0.02443232336126558}"
18,18,1,583,2.245241,15,"{""C01"": 1.088152, ""C02"": 1.120892, ""C03"": 1.158027, ""C04"": 1.191499, ""C05"": 1.214972, ""C06"": 1.610268, ""C07"": 1.487931, ""C08"": 1.485187, ""C09"": 1.492731, ""C10"": 1.516423, ""C11"": 1.554526, ""C12"": 2.300981, ""C13"": 2.264907, ""C14"": 2.290649, ""C15"": 2.295507}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1060, ""C13"": 0, ""C14"": 0, ""C15"": 528}","{""C01"": 0.025354670409044336, ""C02"": 0.025354670409044336, ""C03"": 0.025354670409044336, ""C04"": 0.025354670409044336, ""C05"": 0.025354670409044336, ""C06"": 0.025354670409044336, ""C07"": 0.025354670409044336, ""C08"": 0.025354670409044336, ""C09"": 0.025354670409044336, ""C10"": 0.025354670409044336, ""C11"": 0.025354670409044336, ""C12"": 0.024740807774797993, ""C13"": 0.025354670409044336, ""C14"": 0.025354670409044336, ""C15"": 0.025048896010983326}"
19,19,1,534,1.962264,15,"{""C01"": 1.095167, ""C02"": 1.130349, ""C03"": 1.167093, ""C04"": 1.197523, ""C05"": 1.216734, ""C06"": 1.608781, ""C07"": 1.484965, ""C08"": 1.484825, ""C09"": 1.497833, ""C10"": 1.527278, ""C11"": 1.568718, ""C12"": 2.320952, ""C13"": 2.279312, ""C14"": 2.297374, ""C15"": 2.29605}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1582, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.025359868440583994, ""C02"": 0.025359868440583994, ""C03"": 0.025359868440583994, ""C04"": 0.025359868440583994, ""C05"": 0.025359868440583994, ""C06"": 0.025359868440583994, ""C07"": 0.025359868440583994, ""C08"": 0.025359868440583994, ""C09"": 0.025359868440583994, ""C10"": 0.025359868440583994, ""C11"": 0.025359868440583994, ""C12"": 0.024443706794052746, ""C13"": 0.025359868440583994, ""C14"": 0.025359868440583994, ""C15"": 0.025359868440583994}"
20,20,1,302,1.110559,15,"{""C01"": 1.103096, ""C02"": 1.139777, ""C03"": 1.175087, ""C04"": 1.201826, ""C05"": 1.216825, ""C06"": 1.605906, ""C07"": 1.482091, ""C08"": 1.485808, ""C09"": 1.504714, ""C10"": 1.539325, ""C11"": 1.582768, ""C12"": 2.338698, ""C13"": 2.29035, ""C14"": 2.300853, ""C15"": 2.294672}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1578, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.025364537260269604, ""C02"": 0.025364537260269604, ""C03"": 0.025364537260269604, ""C04"": 0.025364537260269604, ""C05"": 0.025364537260269604, ""C06"": 0.025364537260269604, ""C07"": 0.025364537260269604, ""C08"": 0.025364537260269604, ""C09"": 0.025364537260269604, ""C10"": 0.025364537260269604, ""C11"": 0.025364537260269604, ""C12"": 0.02445069240926684, ""C13"": 0.025364537260269604, ""C14"": 0.025364537260269604, ""C15"": 0.025364537260269604}"
21,21,1,233,0.841749,15,"{""C01"": 1.11166, ""C02"": 1.148803, ""C03"": 1.181728, ""C04"": 1.204358, ""C05"": 1.215455, ""C06"": 1.602178, ""C07"": 1.479845, ""C08"": 1.488431, ""C09"": 1.513304, ""C10"": 1.552172, ""C11"": 1.596161, ""C12"": 2.353737, ""C13"": 2.297957, ""C14"": 2.30149, ""C15"": 2.292081}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1575, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.02536866599885987, ""C02"": 0.02536866599885987, ""C03"": 0.02536866599885987, ""C04"": 0.02536866599885987, ""C05"": 0.02536866599885987, ""C06"": 0.02536866599885987, ""C07"": 0.02536866599885987, ""C08"": 0.02536866599885987, ""C09"": 0.02536866599885987, ""C10"": 0.02536866599885987, ""C11"": 0.02536866599885987, ""C12"": 0.024456558195301438, ""C13"": 0.02536866599885987, ""C14"": 0.02536866599885987, ""C15"": 0.02536866599885987}"
22,22,1,191,0.688419,15,"{""C01"": 1.120528, ""C02"": 1.157066, ""C03"": 1.186803, ""C04"": 1.20516, ""C05"": 1.212908, ""C06"": 1.598164, ""C07"": 1.478702, ""C08"": 1.492866, ""C09"": 1.523402, ""C10"": 1.565354, ""C11"": 1.608398, ""C12"": 2.365711, ""C13"": 2.302237, ""C14"": 2.299824, ""C15"": 2.289015}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1573, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.025372143812349937, ""C02"": 0.025372143812349937, ""C03"": 0.025372143812349937, ""C04"": 0.025372143812349937, ""C05"": 0.025372143812349937, ""C06"": 0.025372143812349937, ""C07"": 0.025372143812349937, ""C08"": 0.025372143812349937, ""C09"": 0.025372143812349937, ""C10"": 0.025372143812349937, ""C11"": 0.025372143812349937, ""C12"": 0.024461193402710472, ""C13"": 0.025372143812349937, ""C14"": 0.025372143812349937, ""C15"": 0.025372143812349937}"
23,23,1,174,0.636644,15,"{""C01"": 1.129334, ""C02"": 1.16424, ""C03"": 1.190183, ""C04"": 1.204368, ""C05"": 1.20953, ""C06"": 1.594423, ""C07"": 1.479041, ""C08"": 1.499147, ""C09"": 1.534692, ""C10"": 1.578363, ""C11"": 1.619029, ""C12"": 2.374414, ""C13"": 2.303461, ""C14"": 2.296497, ""C15"": 2.286203}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1571, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.025374334875660223, ""C02"": 0.025374334875660223, ""C03"": 0.025374334875660223, ""C04"": 0.025374334875660223, ""C05"": 0.025374334875660223, ""C06"": 0.025374334875660223, ""C07"": 0.025374334875660223, ""C08"": 0.025374334875660223, ""C09"": 0.025374334875660223, ""C10"": 0.025374334875660223, ""C11"": 0.025374334875660223, ""C12"": 0.024464542988389928, ""C13"": 0.025374334875660223, ""C14"": 0.025374334875660223, ""C15"": 0.025374334875660223}"
24,24,1,159,0.603513,15,"{""C01"": 1.137705, ""C02"": 1.170051, ""C03"": 1.191831, ""C04"": 1.202206, ""C05"": 1.205705, ""C06"": 1.591477, ""C07"": 1.481132, ""C08"": 1.507173, ""C09"": 1.546759, ""C10"": 1.590678, ""C11"": 1.627681, ""C12"": 2.379807, ""C13"": 2.302056, ""C14"": 2.292216, ""C15"": 2.284322}","{""C01"": 0, ""C02"": 0, ""C03"": 0, ""C04"": 0, ""C05"": 0, ""C06"": 0, ""C07"": 0, ""C08"": 0, ""C09"": 0, ""C10"": 0, ""C11"": 0, ""C12"": 1570, ""C13"": 0, ""C14"": 0, ""C15"": 0}","{""C01"": 0.025375823525904756, ""C02"": 0.025375823525904756, ""C03"": 0.025375823525904756, ""C04"": 0.025375823525904756, ""C05"": 0.025375823525904756, ""C06"": 0.025375823525904756, ""C07"": 0.025375823525904756, ""C08"": 0.025375823525904756, ""C09"": 0.025375823525904756, ""C10"": 0.025375823525904756, ""C11"": 0.025375823525904756, ""C12"": 0.02446661055422574, ""C13"": 0.025375823525904756, ""C14"": 0.025375823525904756, ""C15"": 0.025375823525904756}"
